,pv,wind,demand_el,demand_th
530,0.0,0.085,103.35000000000001,303.3033523810815
531,0.0,0.049,102.375,404.3665571887139
532,0.0,0.015,103.35000000000001,396.25232465160053
533,0.0,0.029,102.375,415.8909360269305
534,0.0,0.051,102.375,496.7435505831251
535,0.001,0.09,103.35000000000001,527.0231126097846
536,0.017,0.127,98.47500000000001,472.6713390669197
537,0.031,0.121,94.575,429.29629780215214
538,0.055,0.138,96.525,425.1128953983358
539,0.085,0.148,102.375,438.7722440078494
540,0.116,0.158,101.4,394.8536217297521
541,0.128,0.155,100.425,323.4655750211791
542,0.051,0.169,102.375,314.5548705907033
543,0.0,0.181,104.325,377.4542228688007
544,0.0,0.178,109.2,449.75925868976293
545,0.0,0.162,126.75,399.8324422326277
546,0.0,0.152,126.75,484.6658190669197
547,0.0,0.141,125.775,376.377024636444
548,0.0,0.133,120.9,533.7264633716763
549,0.0,0.124,117.0,528.020051729752
550,0.0,0.113,114.075,446.9056362935249
551,0.0,0.103,112.125,352.4725693410923
552,0.0,0.096,108.22500000000001,463.7287221028461
553,0.0,0.096,107.25,377.77579231364456
554,0.0,0.099,104.325,450.2604584833108
555,0.0,0.113,103.35000000000001,409.19431656557515
556,0.0,0.115,105.3,434.99067889976993
557,0.0,0.117,102.375,489.9637765398872
558,0.0,0.106,102.375,471.33846441135313
559,0.005,0.093,103.35000000000001,582.6034031362877
560,0.031,0.07,96.525,485.5866846272892
561,0.066,0.036,96.525,500.84276505402335
562,0.116,0.018,99.45,446.1385810128912
563,0.126,0.035,101.4,399.0500663342264
564,0.084,0.085,102.375,442.5645673984934
565,0.051,0.137,103.35000000000001,459.4250856966937
566,0.021,0.15,108.22500000000001,424.12273293062697
567,0.0,0.187,111.15,390.1022418663599
568,0.0,0.238,115.05,489.80118931109155
569,0.0,0.249,124.80000000000001,510.1789478200902
570,0.0,0.259,125.775,537.9321246272892
571,0.0,0.259,125.775,484.0629518612224
572,0.0,0.248,121.875,492.3327822879567
573,0.0,0.207,119.925,461.13057739849353
574,0.0,0.178,114.075,485.5867137892331
575,0.0,0.142,110.175,375.07530039590887
576,0.0,0.106,109.2,426.7060257321398
577,0.0,0.076,106.275,447.33964504129625
578,0.0,0.055,105.3,437.70046596050645
579,0.0,0.047,102.375,479.25723274039916
580,0.0,0.049,104.325,513.1071972193945
581,0.0,0.06,123.825,806.019015943275
582,0.0,0.072,149.175,722.2504734140113
583,0.012,0.073,231.07500000000002,738.0441928402229
584,0.065,0.063,249.60000000000002,813.8591100825925
585,0.134,0.067,225.225,630.1702960603301
586,0.205,0.07,204.75,737.1276976703839
587,0.22,0.068,228.15,482.5397439935434
588,0.197,0.07,233.025,585.0063452581753
589,0.126,0.076,213.525,569.7918987066491
590,0.043,0.083,167.70000000000002,628.4259808904912
591,0.001,0.103,153.07500000000002,551.0807196258593
592,0.0,0.131,133.57500000000002,434.21826111885787
593,0.0,0.155,144.3,662.1476738764883
594,0.0,0.179,146.25,604.0618200825925
595,0.0,0.185,143.32500000000002,478.8558722664346
596,0.0,0.192,137.475,417.5888382441723
597,0.0,0.192,129.675,412.74688525817527
598,0.0,0.199,123.825,428.8928902053915
599,0.0,0.22,117.0,413.38902182118886
600,0.0,0.229,115.05,267.1257866836585
601,0.0,0.255,113.10000000000001,347.6766313105565
602,0.0,0.283,109.2,322.4472209291393
603,0.0,0.305,110.175,317.62028094576976
604,0.0,0.382,115.05,343.32661059761347
605,0.0,0.364,133.57500000000002,534.0014530191606
606,0.0,0.344,136.5,569.7956184088931
607,0.013,0.296,212.55,555.0108314768612
608,0.064,0.233,201.82500000000002,982.4205026211131
